ItemCode,Item Description,Category
004,"Pac-Dent Disposable Dappen Dishes, Assorted Colors",Cosmetic&Restoration
008,"Pac-Dent Surgical Aspirator Tips Large orifice, green, 6 5/16"" long, 1/4"" diameter",Evacuation
009,"Pac-Dent Surgical Aspirator Tips Standard Orifice White 6 1/2"" long 1/8"" diameter""",Evacuation
00010,ZEISS Z28 CARTRIDGE 1.0% GMS,Cosmetic&Restoration
010,"Pac-Dent Surgical Aspirator Tips Small orifice, blue, 7 3/4"" long, 1/16"" diameter",Evacuation
029,Pac-Dent 1 x Endo ruler,Endodontic
031,Pac-Dent 6 x Plastic Prophy Rings,Preventive
070,BUR BLOCKS FG&RA 30 HOLES AUTOCLAVABLE 1/PK,Bur
071,Pac-Dent 18-Bur block (18FG hole),Bur
072,Pac-Dent 27-Bur block (18FG+9RA hole),Bur
073,"15-BUR BLOCK (10FG+5RA HOLE), 1 PER BOX",Bur
074,"10-BUR BLOCK (6FG+4RA HOLE), 1 PER BOX",Bur
100,"Pac-Dent Syringe sleeve w/opening, Clear, 2 1/2"" x 10""",Infection Control
101,"Pac-Dent B tray sleeves, 10 1/2"" x 14""",Infection Control
102,"Pac-Dent Barrier Sleeves Headrest cover 11"" x 9 1/2"" x 2""",Infection Control
103,"Pac-Dent Barrier Sleeves Headrest cover 14"" x 9 1/2"" x 2""",Infection Control
104,"Pac-Dent F tray sleeves, 7 1/2"" x 10 1/2""",Infection Control
106,"Pac-Dent T-handle sleeves, 4""W X 5 3/4""L",Infection Control
109,"Pac-Dent X-ray sleeves, 15"" x 26""",Infection Control
110,"Pac-Dent Universal x-ray sleeves, 23"" x 31""",Infection Control
111,"Pac-Dent Full chair sleeves, 29"" x 80""",Infection Control
112,"Pac-Dent Half chair sleeves, 27 1/2"" x 24""",Infection Control
125,Pac-Dent Delivery Tips iFlo Hemo-STAT infusor tip w/ brush-padded end,Cosmetic&Restoration
126,Pac-Dent Delivery Tips iFlo Intra-Oral tips with cap,Cosmetic&Restoration
127,Pac-Dent Delivery Tips iFlo Spiral Brush tip,Cosmetic&Restoration
128,Pac-Dent Delivery Tips iFlo Endo tip,Cosmetic&Restoration
129,Pac-Dent Delivery Tips iFlo BluEze applicator tip,Cosmetic&Restoration
135,PacEtch 4 x 1.2 ml syringes w/8 x pre-bent needle tips,Cosmetic&Restoration
223,Pac-Dent OptiProbe Irrigation Needle Tips 23 Ga. round tip side port Blue,Endodontic
224,Pac-Dent OptiProbe Irrigation Needle Tips 27 ga. round tip side port yellow,Endodontic
226,Pac-Dent OptiProbe Irrigation Needle Tips 30 ga. round tip side port purple,Endodontic
227,"Pac-Dent Pre-bent Needles 18 Ga., liner, Pink",Cosmetic&Restoration
228,"Pac-Dent Pre-bent Needles 20 Ga., flow-sealant, Yellow",Cosmetic&Restoration
229,"Pac-Dent Pre-bent Needles 20 Ga., flow, Black",Cosmetic&Restoration
230,"Pac-Dent Pre-bent Needles 22Ga. flow, Grey",Cosmetic&Restoration
231,"Pac-Dent Pre-bent Needles 25 Ga., etch, Blue",Cosmetic&Restoration
232,"Pac-Dent Irrigation Needle Tips 30 Ga., notched, Purple",Endodontic
233,"Pac-Dent 3/4 Evacu-N-Irrigation Needle Tips 18 Ga, Pink",Endodontic
234,"Pac-Dent 3/4 Evacu-N-Irrigation Needle Tips 19 Ga, Gray",Endodontic
235,"Pac-Dent 3/4 Evacu-N-Irrigation Needle Tips 20 Ga, Yellow",Endodontic
