ItemCode,Category,SubCategory
ADPD123,COS & RET,C&B
ADPD124,COS & RET,C&B
ADPD125,COS & RET,C&B
ATCT2200,EVAC,Canister Traps 
ATCT2350,EVAC,Canister Traps 
AMPD186,IMP & ACC,Bite Registration 
AMPD190,IMP & ACC,Bite Registration 
AM100,INF CONTROL,Barrier Sleeves
AM100B,INF CONTROL,Barrier Sleeves
AM101,INF CONTROL,Barrier Sleeves
AM101A,INF CONTROL,Barrier Sleeves
AM102,INF CONTROL,Barrier Sleeves
AM103,INF CONTROL,Barrier Sleeves
AM112,INF CONTROL,Barrier Sleeves
AM111,INF CONTROL,Barrier Sleeves
ADPE-VI-01,ENDO,Vitality Spray 
ADPE-VI-12,ENDO,Vitality Spray 
1705-862,COS & RET,Delivery Tips 
1777-946,COS & RET,Composite Brush
3855-741,COS & RET,Prebent Needles 
3855-750,COS & RET,Prebent Needles 
3855-769,COS & RET,Prebent Needles 
3855-778,COS & RET,Prebent Needles 
3861-716,COS & RET,Prebent Needles 
3861-725,COS & RET,Prebent Needles 
3861-734,COS & RET,Prebent Needles 
3863-830,COS & RET,Composite Brush
5224-188,ENDO,Irrigation Needles 
5224-197,ENDO,Irrigation Needles 
5224-204,ENDO,Irrigation Needles 
5224-231,ENDO,Irrigation Needles 
5224-240,ENDO,Irrigation Needles 
5224-259,ENDO,Irrigation Needles 
5224-268,ENDO,Irrigation Needles 
5354-547,ENDO,
5354-565,ENDO,Endo Solutions 
5354-574,ENDO,
5354-583,ENDO,
5354-592,ENDO,Endo Solutions 
5464-213,ENDO,Glide Path Files 
5464-222,ENDO,Glide Path Files 
5464-231,ENDO,Glide Path Files 
5518-763,WHITENING,In-office Whitening 
5518-772,WHITENING,In-office Whitening 
6299-641,COS & RET,Etch 
6299-650,COS & RET,Etch 
6299-669,COS & RET,
B103-150C ,INF CONTROL,Air Water Syringe Tips 
B103-1600C ,INF CONTROL,Air Water Syringe Tips 
B103-6C ,INF CONTROL,Air Water Syringe Tips 
B105-1500AST ,INF CONTROL,Air Water Syringe Tips 
B105-250AST ,INF CONTROL,Air Water Syringe Tips 
B105-6AST ,INF CONTROL,Air Water Syringe Tips 
B109-1500,INF CONTROL,Air Water Syringe Tips 
B109-200,INF CONTROL,Air Water Syringe Tips 
B1480,INF CONTROL,Barrier Sleeves
B221-20,ENDO,Irrigation Needles 
B222-20,ENDO,Irrigation Needles 
B246C/412,IMP & ACC,Syringe
BE103-6W,INF CONTROL,Air Water Syringe Tips 
BEN008,EVAC,Surgical Aspirator Tips
BEN009,EVAC,Surgical Aspirator Tips
BEN010,EVAC,Surgical Aspirator Tips
BEN090DB,INF CONTROL,Bib Holder 
BEN103-150W,INF CONTROL,Air Water Syringe Tips 
BEN103-1600W,INF CONTROL,Air Water Syringe Tips 
BEN223,ENDO,Irrigation Needles 
BEN224,ENDO,Irrigation Needles 
BEN232,ENDO,Irrigation Needles 
BEN238,ENDO,Irrigation Needles 
BEN239,ENDO,Irrigation Needles 
BEN240,ENDO,Irrigation Needles 
BEN241,ENDO,Irrigation Needles 
BEN242,ENDO,Irrigation Needles 
BEN244,ENDO,Irrigation Needles 
BEN245,ENDO,Irrigation Needles 
BEN247,ENDO,Irrigation Needles 
BEN310W,ENDO,Irrigation Needles 
BEN410-2,IMP & ACC,
BEN410-4,IMP & ACC,
BEN802L,ENDO,Endo Foam
BEN803L,ENDO,Endo Foam
BENCP001/BW-01,X-RAY ACC,Bite Wing Tab
BENG006-100,INF CONTROL,PPE
BENG100-100,INF CONTROL,PPE
BENG1020,INF CONTROL,PPE
BENGPR-AS,ENDO,Gutta Percha Remover
BENGPR-R1,ENDO,Gutta Percha Remover
BENGPR-R2,ENDO,Gutta Percha Remover
BENGPR-R3,ENDO,Gutta Percha Remover
BEN-MASKT01BK,ENDO,PPE
BENPD-255,IMP & ACC,Mixing Tips 
BENPD-260,IMP & ACC,Mixing Tips 
BENPD-265,IMP & ACC,Mixing Tips 
BENPE-VI-01,ENDO,
BENPM-01,COS & RET,Matrix 
BENPM-F1,COS & RET,Matrix 
BENPM-M3,COS & RET,Matrix 
BENPM-M4,COS & RET,Matrix 
BENPM-M6,COS & RET,Matrix 
BENPM-R1,COS & RET,Matrix 
BENPM-R2,COS & RET,Matrix 
BENPM-R3,COS & RET,Matrix 
BENPM-U1,COS & RET,Matrix 
BENPM-WL,COS & RET,Matrix 
BENPM-WM,COS & RET,Matrix 
BENPM-WS,COS & RET,Matrix 
BENTM-250,IMP & ACC,Mixing Tips 
BENTM-255,IMP & ACC,Mixing Tips 
BENTM-265,IMP & ACC,Mixing Tips 
BENTM-268,IMP & ACC,C&B
BEPM-M5,COS & RET,Matrix 
BE-S024,INF CONTROL,PPE
BFFC1906AS,ENDO,PacFile Conform
BFFC1908OR,ENDO,PacFile Conform
BFFC210415,ENDO,PacFile Conform
BFFC210420,ENDO,PacFile Conform
BFFC210425,ENDO,PacFile Conform
BFFC210430,ENDO,PacFile Conform
BFFC210435,ENDO,PacFile Conform
BFFC210440,ENDO,PacFile Conform
BFFC210445,ENDO,PacFile Conform
BFFC210450,ENDO,PacFile Conform
BFFC210455,ENDO,PacFile Conform
BFFC210460,ENDO,PacFile Conform
BFFC2104AS,ENDO,PacFile Conform
BFFC210615,ENDO,PacFile Conform
BFFC210620,ENDO,PacFile Conform
BFFC210625,ENDO,PacFile Conform
BFFC210630,ENDO,PacFile Conform
BFFC210635,ENDO,PacFile Conform
BFFC210640,ENDO,PacFile Conform
BFFC210645,ENDO,PacFile Conform
BFFC210650,ENDO,PacFile Conform
BFFC2106AS,ENDO,PacFile Conform
BFFC250415,ENDO,PacFile Conform
BFFC250420,ENDO,PacFile Conform
BFFC250425,ENDO,PacFile Conform
BFFC250430,ENDO,PacFile Conform
BFFC250435,ENDO,PacFile Conform
BFFC250440,ENDO,PacFile Conform
BFFC250445,ENDO,PacFile Conform
BFFC250450,ENDO,PacFile Conform
BFFC250455,ENDO,PacFile Conform
BFFC250460,ENDO,PacFile Conform
BFFC2504AS,ENDO,PacFile Conform
BFFC250615,ENDO,PacFile Conform
BFFC250620,ENDO,PacFile Conform
BFFC250625,ENDO,PacFile Conform
BFFC250630,ENDO,PacFile Conform
BFFC250635,ENDO,PacFile Conform
BFFC250640,ENDO,PacFile Conform
BFFC250645,ENDO,PacFile Conform
BFFC250650,ENDO,PacFile Conform
BFFC2506AS,ENDO,PacFile Conform
BFFC310415,ENDO,PacFile Conform
BFFC310420,ENDO,PacFile Conform
BFFC310425,ENDO,PacFile Conform
BFFC310430,ENDO,PacFile Conform
BFFC310435,ENDO,PacFile Conform
BFFC310440,ENDO,PacFile Conform
BFFC310445,ENDO,PacFile Conform
BFFC310450,ENDO,PacFile Conform
BFFC310455,ENDO,PacFile Conform
BFFC310460,ENDO,PacFile Conform
BFFC3104AS,ENDO,PacFile Conform
BFFC310620,ENDO,PacFile Conform
BFFC310625,ENDO,PacFile Conform
BFFC310630,ENDO,PacFile Conform
BFFC310635,ENDO,PacFile Conform
BFFC310640,ENDO,PacFile Conform
BFFC310645,ENDO,PacFile Conform
BFFC310650,ENDO,PacFile Conform
BFFC3106AS,ENDO,PacFile Conform
BFNT1908OR,ENDO,PacFile NiTi
BFNT210415,ENDO,PacFile NiTi
BFNT210420,ENDO,PacFile NiTi
BFNT210425,ENDO,PacFile NiTi
BFNT210430,ENDO,PacFile NiTi
BFNT210435,ENDO,PacFile NiTi
BFNT210440,ENDO,PacFile NiTi
BFNT210445,ENDO,PacFile NiTi
BFNT210450,ENDO,PacFile NiTi
BFNT210455,ENDO,PacFile NiTi
BFNT210460,ENDO,PacFile NiTi
BFNT2104AS,ENDO,PacFile NiTi
BFNT210615,ENDO,PacFile NiTi
BFNT210625,ENDO,PacFile NiTi
BFNT210630,ENDO,PacFile NiTi
BFNT210635,ENDO,PacFile NiTi
BFNT210640,ENDO,PacFile NiTi
BFNT210645,ENDO,PacFile NiTi
BFNT2106AS,ENDO,PacFile NiTi
BFNT250415,ENDO,PacFile NiTi
BFNT250420,ENDO,PacFile NiTi
BFNT250425,ENDO,PacFile NiTi
BFNT250430,ENDO,PacFile NiTi
BFNT250435,ENDO,PacFile NiTi
BFNT250440,ENDO,PacFile NiTi
BFNT250445,ENDO,PacFile NiTi
BFNT250450,ENDO,PacFile NiTi
BFNT250455,ENDO,PacFile NiTi
BFNT250460,ENDO,PacFile NiTi
BFNT2504AS,ENDO,PacFile NiTi
BFNT250615,ENDO,PacFile NiTi
BFNT250620,ENDO,PacFile NiTi
BFNT250625,ENDO,PacFile NiTi
BFNT250630,ENDO,PacFile NiTi
BFNT250635,ENDO,PacFile NiTi
BFNT250640,ENDO,PacFile NiTi
BFNT250645,ENDO,PacFile NiTi
BFNT250650,ENDO,PacFile NiTi
BFNT2506AS,ENDO,PacFile NiTi
BFNT310415,ENDO,PacFile NiTi
BFNT310420,ENDO,PacFile NiTi
BFNT310425,ENDO,PacFile NiTi
BFNT310430,ENDO,PacFile NiTi
BFNT310435,ENDO,PacFile NiTi
BFNT310440,ENDO,PacFile NiTi
BFNT310445,ENDO,PacFile NiTi
BFNT310450,ENDO,PacFile NiTi
BFNT310455,ENDO,PacFile NiTi
BFNT310460,ENDO,PacFile NiTi
BFNT3104AS,ENDO,PacFile NiTi
BFNT310615,ENDO,PacFile NiTi
BFNT310620,ENDO,PacFile NiTi
BFNT310625,ENDO,PacFile NiTi
BFNT310630,ENDO,PacFile NiTi
BFNT310635,ENDO,PacFile NiTi
BFNT310640,ENDO,PacFile NiTi
BFNT310645,ENDO,PacFile NiTi
BFNT310650,ENDO,PacFile NiTi
BFNT3106AS,ENDO,PacFile NiTi
BGOB-20,ENDO,Obturators 
BGOB-25,ENDO,Obturators 
BGOB-30,ENDO,Obturators 
BGOB-35,ENDO,Obturators 
BGOB-40,ENDO,Obturators 
BGOB-45,ENDO,Obturators 
BGOB-50,ENDO,Obturators 
BOOG-20,ENDO,Obturators 
BOOG-25,ENDO,Obturators 
BOOG-35,ENDO,Obturators 
BOOG-40,ENDO,Obturators 
BOOG-45,ENDO,Obturators 
BOOP-20,ENDO,Obturators 
BOOP-25,ENDO,Obturators 
BOOP-35,ENDO,Obturators 
BOOP-45,ENDO,Obturators 
BPD-177P,IMP & ACC,
BPD-450,IMP & ACC,Syringe
BPDE003,ENDO,Post 
BPDG003,ENDO,Post 
BPEW003,ENDO,Post 
BPIW003,ENDO,
BPO-20,ENDO,Gutta Percha Points 
BPO-25,ENDO,Gutta Percha Points 
BPO-35,ENDO,Gutta Percha Points 
BPO-45,ENDO,Gutta Percha Points 
BPOB-20,ENDO,Obturators 
BPOB-25,ENDO,Obturators 
BPOB-30,ENDO,Obturators 
BPOB-35,ENDO,Obturators 
BPOB-40,ENDO,Obturators 
BPOB-45,ENDO,Obturators 
BPOB-50,ENDO,Obturators 
BPOC2115,ENDO,One File Gold 
BPOC2120,ENDO,One File Gold 
BPOC2125,ENDO,One File Gold 
BPOC2135,ENDO,One File Gold 
BPOC2145,ENDO,One File Gold 
BPOC2515,ENDO,One File Gold 
BPOC2520,ENDO,One File Gold 
BPOC2525,ENDO,One File Gold 
BPOC2535,ENDO,One File Gold 
BPOC2545,ENDO,One File Gold 
BPOC25AS,ENDO,One File Gold 
BPOC3115,ENDO,One File Gold 
BPOC3120,ENDO,One File Gold 
BPOC3125,ENDO,One File Gold 
BPOC3135,ENDO,One File Gold 
BPOC3145,ENDO,One File Gold 
BPPO-20,ENDO,Paper Points 
BPPO-25,ENDO,Paper Points 
BPPO-35,ENDO,Paper Points 
BPPO-45,ENDO,Paper Points 
BPPP00W,ENDO,Post 
BPPP0Y,ENDO,Post 
BPPP1R,ENDO,Post 
BPPP2B,ENDO,Post 
BPPP3G,ENDO,Post 
BPSD0Y,ENDO,Post 
BPSD1R,ENDO,Post 
BPSD2B,ENDO,Post 
BPSD3G,ENDO,Post 
BPSS00W-10,ENDO,Post 
BPSS0Y-10,ENDO,Post 
BPSS1R-10,ENDO,Post 
BPSS2B-10,ENDO,Post 
BPSS3G-10,ENDO,Post 
BPSS-AS,ENDO,Post 
BPTS00W-10,ENDO,Post 
BPTS0Y-10,ENDO,Post 
BPTS1R-10,ENDO,Post 
BPTS2B-10,ENDO,Post 
BPTS3G-10,ENDO,Post 
BPTS-AS,ENDO,Post 
BST-1500,INF CONTROL,Air Water Syringe Tips 
BST-250,INF CONTROL,Air Water Syringe Tips 
BTFC19CX,ENDO,PacTaper Conform 
BTFC21A1,ENDO,PacTaper Conform 
BTFC21A2,ENDO,PacTaper Conform 
BTFC21A3,ENDO,PacTaper Conform 
BTFC21A4,ENDO,PacTaper Conform 
BTFC21A5,ENDO,PacTaper Conform 
BTFC21AS,ENDO,PacTaper Conform 
BTFC21C1,ENDO,PacTaper Conform 
BTFC21C2,ENDO,PacTaper Conform 
BTFC21CX,ENDO,PacTaper Conform 
BTFC25A1,ENDO,PacTaper Conform 
BTFC25A2,ENDO,PacTaper Conform 
BTFC25A3,ENDO,PacTaper Conform 
BTFC25A4,ENDO,PacTaper Conform 
BTFC25A5,ENDO,PacTaper Conform 
BTFC25AS,ENDO,PacTaper Conform 
BTFC25C1,ENDO,PacTaper Conform 
BTFC25C2,ENDO,PacTaper Conform 
BTFC25CX,ENDO,PacTaper Conform 
BTFC31A1,ENDO,PacTaper Conform 
BTFC31A2,ENDO,PacTaper Conform 
BTFC31A3,ENDO,PacTaper Conform 
BTFC31A4,ENDO,PacTaper Conform 
BTFC31A5,ENDO,PacTaper Conform 
BTFC31AS,ENDO,PacTaper Conform 
BTFC31C1,ENDO,PacTaper Conform 
BTFC31C2,ENDO,PacTaper Conform 
BTFC31CX,ENDO,PacTaper Conform 
BTNT19CX,ENDO,PacTaper NiTi
BTNT21A1,ENDO,PacTaper NiTi
BTNT21A2,ENDO,PacTaper NiTi
BTNT21A3,ENDO,PacTaper NiTi
BTNT21A5,ENDO,PacTaper NiTi
BTNT21AS,ENDO,PacTaper NiTi
BTNT21C1,ENDO,PacTaper NiTi
BTNT21C2,ENDO,PacTaper NiTi
BTNT21CX,ENDO,PacTaper NiTi
BTNT25A1,ENDO,PacTaper NiTi
BTNT25A2,ENDO,PacTaper NiTi
BTNT25A3,ENDO,PacTaper NiTi
BTNT25A4,ENDO,PacTaper NiTi
BTNT25A5,ENDO,PacTaper NiTi
BTNT25AS,ENDO,PacTaper NiTi
BTNT25C1,ENDO,PacTaper NiTi
BTNT25C2,ENDO,PacTaper NiTi
BTNT25CX,ENDO,PacTaper NiTi
BTNT31A1,ENDO,PacTaper NiTi
BTNT31A2,ENDO,PacTaper NiTi
BTNT31A3,ENDO,PacTaper NiTi
BTNT31A4,ENDO,PacTaper NiTi
BTNT31A5,ENDO,PacTaper NiTi
BTNT31AS,ENDO,PacTaper NiTi
BTNT31C1,ENDO,PacTaper NiTi
BTNT31C2,ENDO,PacTaper NiTi
BTNT31CX,ENDO,PacTaper NiTi
BTOG-A1,ENDO,Obturators 
BTOG-A2,ENDO,Obturators 
BTOG-A3,ENDO,Obturators 
BTOG-A4,ENDO,Obturators 
BTOG-A5,ENDO,Obturators 
BTOP-A1,ENDO,Obturators 
BTOP-A2,ENDO,Obturators 
BTOP-A3,ENDO,Obturators 
BTOP-A4,ENDO,Obturators 
BTOP-A5,ENDO,Obturators 
PE-ENC-16B,ENDO,Endo Solutions 
PL208Benco,ENDO,Endo Solutions 
PL209Benco,ENDO,
PM-CM3,COS & RET,Matrix 
PM-CM4,COS & RET,Matrix 
PM-CM5,COS & RET,Matrix 
PM-CM6,COS & RET,Matrix 
PM-CM7,COS & RET,Matrix 
PVT-1000,INF CONTROL,Air Water Syringe Tips 
PVT-1250,INF CONTROL,Air Water Syringe Tips 
PVT-1500,INF CONTROL,Air Water Syringe Tips 
BENPD-250,IMP & ACC,Mixing Tips 
BENTM-267,IMP & ACC,Mixing Tips 
BPD-116,IMP & ACC,Impression Gun
BA-217-20,ENDO,Irrigation Needles 
BA-218-20,ENDO,Irrigation Needles 
BA-219-20,ENDO,Irrigation Needles 
BA-220-20,ENDO,Irrigation Needles 
BA-223,ENDO,Irrigation Needles 
BA-224,ENDO,Irrigation Needles 
BA-226,ENDO,Irrigation Needles 
BA-240,ENDO,Syringe
BA-241,ENDO,Syringe
BA-PE-CHXB,ENDO,Endo Solutions 
BA-PE-EDB,ENDO,Endo Solutions 
BA-PE-SHB,ENDO,Endo Solutions 
BA-PE-STA,ENDO,Endo Solutions 
BA-PE-VI-01,ENDO,
BK1169,COS & RET,Delivery Tips 
BK125,COS & RET,Prebent Needles 
BK310W,ENDO,Irrigation Needles 
BK500MG,COS & RET,Mini Brush
BK907,COS & RET,Mixing Well
BKPM-02,COS & RET,Matrix 
BKPM-F1,COS & RET,Matrix 
BKPM-M3,COS & RET,Matrix 
BKPM-M4,COS & RET,Matrix 
BKPM-M5,COS & RET,Matrix 
BKPM-M6,COS & RET,Matrix 
BKPM-R2,COS & RET,Matrix 
BKPM-R3,COS & RET,Matrix 
BKPM-U1,COS & RET,Matrix 
BKPM-WL,COS & RET,Matrix 
BKPM-WM,COS & RET,Matrix 
BKPM-WS,COS & RET,Matrix 
BK008,EVAC,Surgical Aspirator Tips
BK009,EVAC,Surgical Aspirator Tips
BK100,INF CONTROL,Barrier Sleeves 
BK101,INF CONTROL,Barrier Sleeves 
BK101A,INF CONTROL,Barrier Sleeves 
BK104,INF CONTROL,Barrier Sleeves 
BK106,INF CONTROL,Barrier Sleeves 
BK109,INF CONTROL,Barrier Sleeves 
BK111,INF CONTROL,Barrier Sleeves 
BK122R,INF CONTROL,Barrier Sleeves 
BK168-144,PREVENTIVE,Prophy Angles 
BK232,ENDO,Irrigation Needles 
BK238,ENDO,Irrigation Needles 
BK238-100T,PREVENTIVE,Prophy Angles 
BK239,ENDO,Irrigation Needles 
BK249-100P,PREVENTIVE,Prophy Angles 
BK249-100T,PREVENTIVE,Prophy Angles 
BK249-500T,PREVENTIVE,Prophy Angles 
BK250-100T,PREVENTIVE,Prophy Angles 
BK802,ENDO,Endo Foam
BK803L,ENDO,Endo Foam
BK803T,ENDO,Endo Foam
BKC101,INF CONTROL,Barrier Film 
BKC101B,INF CONTROL,Barrier Film 
BKCP001,X-RAY ACC,Bite Wing Tab
BKM163-90-144T,PREVENTIVE,Prophy Angles 
BKPD-115P,IMP & ACC,Impression Gun
BKPD-211-50,IMP & ACC,Mixing Tips 
BKPE-CHXB,IMP & ACC,Endo Solutions 
BKPE-EDB,IMP & ACC,Endo Solutions 
BKPE-ENC-16,IMP & ACC,Endo Solutions 
BKPE-SHB,IMP & ACC,Endo Solutions 
110351BULKS,IMP & ACC,Mixing Tips 
CG004,COS & RET,Dappen Dishes 
CG004B,COS & RET,Dappen Dishes 
CG004P,COS & RET,Dappen Dishes 
CG004W,COS & RET,Dappen Dishes 
CG004Y,COS & RET,Dappen Dishes 
CG008,EVAC,Surgical Aspirator Tips
CG009,EVAC,Surgical Aspirator Tips
CG010,EVAC,Surgical Aspirator Tips
CG024SB,BUR,Bur Blocks
CG090B,INF CONTROL,Bib Holder 
CG090R,INF CONTROL,Bib Holder 
CG090W,INF CONTROL,Bib Holder 
CG090Y,INF CONTROL,Bib Holder 
CG100,INF CONTROL,Barrier Sleeves 
CG100B,INF CONTROL,Barrier Sleeves 
CG100L,INF CONTROL,Barrier Sleeves 
CG100S,INF CONTROL,Barrier Sleeves 
CG101B,INF CONTROL,Barrier Sleeves 
CG102,INF CONTROL,Barrier Sleeves 
CG103,INF CONTROL,Barrier Sleeves 
CG103-100W,INF CONTROL,Air Water Syringe Tips 
CG103-1600,INF CONTROL,Air Water Syringe Tips 
CG105-1500AST,INF CONTROL,Air Water Syringe Tips 
CG105-250AST,INF CONTROL,Air Water Syringe Tips 
CG106,INF CONTROL,Barrier Sleeves 
CG109,INF CONTROL,Barrier Sleeves 
CG109-1500AST,INF CONTROL,Air Water Syringe Tips 
CG109-1500W,INF CONTROL,Air Water Syringe Tips 
CG109-200AST,INF CONTROL,Air Water Syringe Tips 
CG109-200W,INF CONTROL,Air Water Syringe Tips 
CG111,INF CONTROL,Barrier Sleeves 
CG112,INF CONTROL,Barrier Sleeves 
CG125,COS & RET,Delivery Tips 
CG227,COS & RET,Prebent Needles 
CG228,COS & RET,Prebent Needles 
CG229,COS & RET,Prebent Needles 
CG230,COS & RET,Prebent Needles 
CG231,COS & RET,Prebent Needles 
CG232,ENDO,Irrigation Needles 
CG238,ENDO,Irrigation Needles 
CG239,ENDO,Irrigation Needles 
CG240,ENDO,Irrigation Needles 
CG241,ENDO,Irrigation Needles 
CG242,ENDO,Irrigation Needles 
CG244,ENDO,Irrigation Needles 
CG245,ENDO,Irrigation Needles 
CG246C/412,IMP & ACC,Syringe
CG247,ENDO,Irrigation Needles 
CG247-144,PREVENTIVE,Prophy Angles 
CG247-500,PREVENTIVE,Prophy Angles 
CG248-144,PREVENTIVE,Prophy Angles 
